SSIM,PSNR,StgMSE,ExtMSE
0.9805697,25.0569525,202.9481558,199.8879743
0.9828174,27.7477492,109.2208227,176.4737524
0.9916307,27.2044505,123.7756763,77.9162747
0.9510825,27.5045694,115.5110212,270.5302934
0.9510825,27.5045694,115.5110212,270.5302934
0.9675729,23.9145216,264.0147547,321.7454095
0.9940131,29.2333502,77.5792079,98.7080145
0.9740688,29.9112295,66.3677987,223.494413
0.9720603,28.5992251,89.7755036,419.806262
0.9762649,30.8397246,53.5929794,207.5862298
0.9798718,25.6689663,176.272162,211.2950813
0.9811502,27.4681383,116.4840694,236.194801
0.9914451,29.5055635,72.8658456,89.3768335
0.9914451,29.5055635,72.8658456,89.3768335
0.952513,27.7603336,108.9047951,183.1374163
0.952513,27.7603336,108.9047951,183.1374163
0.9512283,28.6159587,89.4302588,187.3882201
0.9730492,29.7344346,69.125279,178.7591544
0.9794808,26.9217885,132.0996027,247.6720677
0.9845704,28.7558182,86.5961416,165.951245
0.9911437,28.9808051,82.2242374,94.0989915
0.9706143,27.6622058,111.3934816,197.7600978
0.9811646,29.7660343,68.624143,127.0105695
0.9883956,26.8075763,135.6196854,34.6509819
0.9901678,29.6002132,71.294995,58.7896471
0.9883012,24.9516443,207.9294151,102.0923283
0.9823775,28.8076979,85.5678412,197.9210911
0.9824175,26.122903,158.7779018,202.9070406
0.9881065,29.0386897,81.1355894,167.3969494
0.8729718,30.1641745,62.6127697,1681.9491988
0.9949764,27.6028368,112.9267113,75.0705849
0.8729718,30.1641745,62.6127697,1681.9491988
0.9884138,31.7427551,43.531622,58.6281423
0.9820814,29.3311305,75.8520475,89.9105881
0.9764333,28.7753148,86.2082603,125.709084
0.9930937,30.1893563,62.2507706,58.8978396
0.9297295,30.4461823,58.6762197,550.7014908
0.9964329,31.9996505,41.0313031,33.7428053
0.9954274,33.0023842,32.5718139,43.7972404
0.9574454,23.2055489,310.8318187,187.2921848
0.9391117,25.5478092,181.2589419,231.6292384
0.9391117,25.5478092,181.2589419,231.6292384
0.9574454,23.2055489,310.8318187,187.2921848
0.9574454,23.2055489,310.8318187,187.2921848
0.9725226,25.4150192,186.8867188,114.0278154
0.9371912,24.6000337,225.4638871,298.3866523
0.9530603,25.9337826,165.8448926,284.4890984
0.9742714,27.3221575,120.4660329,145.7139469
0.8428714,26.1802997,156.6932863,181.8257002
0.9784756,25.67692,175.9496306,97.0394877
0.9549648,23.6786515,278.7502126,218.6027184
0.9905045,26.3279966,151.453982,90.1888951
0.857769,27.9639768,103.9160621,298.9293288
0.8685926,24.3337573,239.7201982,252.3060959
0.9814375,28.6709043,88.3059431,124.9418513
0.9938956,30.6531047,55.9461097,42.2773703
0.9938956,30.6531047,55.9461097,42.2773703
0.9724507,27.4579706,116.7571017,241.0409359
0.9871423,30.9899158,51.7712651,88.4163079
0.9243644,29.4985146,72.9842089,408.3310547
0.9243644,29.4985146,72.9842089,408.3310547
0.9243644,29.4985146,72.9842089,408.3310547
0.9243644,29.4985146,72.9842089,408.3310547
0.9199933,26.3034311,152.3130979,433.8944914
0.9628451,28.4354942,93.2246891,299.8947638
0.9639919,29.8635224,67.100865,56.2859534
0.9639919,29.8635224,67.100865,56.2859534
0.9600668,28.7406325,86.8994672,61.8269491
0.98941,27.8441512,106.823116,152.6468365
0.98941,27.8441512,106.823116,152.6468365
0.9806772,27.6903879,110.6729711,313.4025563
0.992781,27.0052783,129.5843431,109.1423257
0.9930814,28.8787881,84.1785714,81.6722072
0.9810194,26.8264667,135.031064,220.9874043
0.9835342,27.9527189,104.185786,95.6701345
0.9827723,26.0390739,161.8724623,189.6088701
0.984736,31.8203303,42.7609481,102.2740885
0.9747671,25.5037588,183.106804,122.5708506
0.994301,31.103089,50.4395793,52.5645727
0.9265426,22.9246693,331.5991643,542.5682265
0.9399013,22.1732701,394.2333453,417.8303372
0.9355558,20.7038693,552.9596354,486.351609
0.9916972,29.5279441,72.4913106,97.5188403
0.9862029,25.9152276,166.5549732,127.5726111
0.9700567,28.2288763,97.7670998,117.5965867
0.9512702,27.657842,111.5054674,427.9954095
0.9901863,28.4008604,93.9711017,124.7287349
0.9789193,27.1137497,126.387868,166.4782034
0.977818,26.9876638,130.1109893,160.4514642
0.9779592,27.4211619,117.7508836,129.5693359
0.9779592,27.4211619,117.7508836,129.5693359
0.9779592,27.4211619,117.7508836,129.5693359
0.9779592,27.4211619,117.7508836,129.5693359
0.9589729,27.1179866,126.2646285,363.8928439
0.990269,26.2003352,155.9720716,111.1617639
0.990269,26.2003352,155.9720716,111.1617639
0.9671053,27.8149466,107.5438789,179.4956221
0.9897397,27.0333068,128.7507241,105.149062
0.9897397,27.0333068,128.7507241,105.149062
0.9814116,30.9157592,52.6628601,103.3422885
0.9814116,30.9157592,52.6628601,103.3422885
0.9865969,28.0532882,101.8008809,101.5028168
0.9857912,27.216493,123.4329361,125.4333014
0.9857912,27.216493,123.4329361,125.4333014
0.9883255,26.100549,159.5972709,100.7914275
0.9717959,26.3912002,149.265811,255.2207231
0.9723855,26.8309374,134.892133,265.4932305
0.9868439,28.7522138,86.6680418,106.3117227
0.9833912,27.4693152,116.4525072,124.1164368
0.9710745,25.7461208,173.1682544,272.5534784
0.9710745,25.7461208,173.1682544,272.5534784
0.9409742,28.587264,90.0230987,202.6098998
0.9409742,28.587264,90.0230987,202.6098998
0.9530351,31.1752062,49.6089166,162.203125
0.9682477,29.161775,78.86837,130.4668965
0.9771798,23.6523399,280.4441433,118.0140838
0.9594415,30.9251551,52.5490474,159.4420108
0.9720845,29.8890922,66.7069582,120.8174559
0.932056,23.4006301,297.1784784,394.6071761
